PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RARS,0.44,0.54,0.6,0.7,0.6,0.64
SLC7A5,0.54,0.56,0.52,0.56,0.64,0.5800000000000001
NOL11,0.62,0.52,0.54,0.48,0.74,0.62
CRNKL1,0.52,0.5,0.68,0.42,0.48,0.63
PMPCB,0.54,0.54,0.44,0.58,0.64,0.71
SFPQ,0.54,0.72,0.7,0.58,0.6,0.59
CSE1L,0.58,0.52,0.62,0.62,0.52,0.55
RPS9,0.44,0.34,0.6,0.48,0.58,0.48
COPA,0.42,0.6,0.52,0.42,0.54,0.63
CNOT3,0.58,0.52,0.56,0.48,0.66,0.63
SART1,0.62,0.56,0.44,0.54,0.44,0.5700000000000001
FAM32A,0.48,0.58,0.64,0.64,0.52,0.53
SIN3A,0.46,0.46,0.52,0.56,0.56,0.59
POLR2A,0.44,0.56,0.6,0.58,0.72,0.6599999999999999
UBA1,0.54,0.48,0.6,0.4,0.48,0.69
MAGOH,0.5,0.44,0.58,0.32,0.48,0.47
RFC3,0.52,0.5,0.54,0.44,0.4,0.5
MCM10,0.52,0.64,0.68,0.54,0.54,0.63
C1QBP,0.42,0.7,0.52,0.54,0.64,0.58
TIMM9,0.52,0.5,0.56,0.64,0.76,0.53
MBTPS2,0.64,0.6,0.54,0.46,0.52,0.64
GAB2,0.44,0.68,0.64,0.78,0.72,0.64
GTF2H1,0.42,0.48,0.58,0.66,0.48,0.63
GPS1,0.6,0.52,0.6,0.58,0.68,0.51
RIOK1,0.4,0.52,0.64,0.6,0.66,0.6599999999999999
RRP12,0.54,0.62,0.58,0.62,0.52,0.6799999999999999
CPSF3,0.54,0.74,0.62,0.64,0.6,0.64
RPA1,0.46,0.56,0.58,0.66,0.54,0.69
LTV1,0.52,0.46,0.6,0.52,0.64,0.51
RPL12,0.52,0.58,0.72,0.66,0.66,0.68
DYNLRB1,0.52,0.5,0.48,0.44,0.5,0.5700000000000001
PHF5A,0.56,0.54,0.58,0.5,0.56,0.66
NDC80,0.5,0.54,0.58,0.56,0.54,0.63
BDP1,0.54,0.64,0.56,0.68,0.56,0.72
WDR12,0.66,0.66,0.4,0.54,0.58,0.54
POLA1,0.58,0.66,0.54,0.48,0.66,0.54
OXA1L,0.54,0.46,0.68,0.56,0.7,0.71
DNTTIP2,0.48,0.48,0.72,0.62,0.54,0.64
ORC1,0.42,0.64,0.62,0.56,0.68,0.75
GNL2,0.48,0.42,0.66,0.64,0.7,0.54
TUBGCP2,0.46,0.6,0.36,0.56,0.48,0.53
RPS20,0.48,0.46,0.54,0.68,0.48,0.59
RPS17,0.5,0.46,0.54,0.52,0.66,0.52
MED10,0.42,0.66,0.7,0.66,0.64,0.65
PHAX,0.46,0.62,0.48,0.48,0.64,0.5700000000000001
PSMB7,0.52,0.62,0.72,0.58,0.5,0.64
RPL9,0.4,0.46,0.54,0.48,0.6,0.44
PSMA4,0.54,0.58,0.64,0.58,0.62,0.72
PSMC1,0.48,0.56,0.68,0.66,0.58,0.67
RAD51,0.48,0.5,0.56,0.42,0.58,0.52
TSR2,0.44,0.48,0.56,0.7,0.72,0.61
EEF2,0.52,0.62,0.6,0.42,0.48,0.56
INTS8,0.5,0.64,0.66,0.62,0.84,0.73
RPL24,0.42,0.58,0.68,0.64,0.72,0.55
PSMA3,0.38,0.64,0.68,0.68,0.6,0.6799999999999999
RPS11,0.46,0.42,0.52,0.46,0.72,0.55
NIFK,0.46,0.52,0.44,0.44,0.56,0.55
