,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
58,EIF4G2,0.19506871700286865,0.9136027448818147,351.42483055143697,4.568453,539.7097,0.9280255809426308,0.9280984476208687,30.219280242919922,inf,76.85709217536763,913.20483,train
59,SF3B3,0.2116885781288147,1.083467299605925,373.7501803530388,4.5837774,610.4247,1.0811140686273575,1.0811663791537285,33.82728576660156,inf,86.5440040176993,1144.2854,train
60,PAF1,0.3129810094833374,1.0506485417768294,373.29600194964667,4.075738,593.728,1.0438248366117477,1.0439232513308525,32.48590850830078,inf,83.5714009179321,1055.3342,train
61,TRRAP,0.24614617228507996,0.9276806025729392,363.4337573555387,4.1766973,555.04315,0.9181119576096535,0.9186071008443832,30.361072540283203,inf,78.12293069085298,921.79474,train
62,PELO,0.19627094268798828,1.0475707694143122,372.26486918722696,4.262294,587.3778,1.041818629950285,1.0415464080870152,32.118995666503906,inf,82.73552812595626,1031.6299,train
63,RPS17,0.24316754937171936,1.0184478677236042,370.748484076152,3.815639,588.7544,1.0108812870457768,1.0107046905905008,32.33989715576172,inf,83.04723116260364,1045.8688,train
64,LSM2,0.2656264901161194,0.9627080644499235,369.9261691073244,4.589402,570.09753,0.9520870111882687,0.9524295404553413,31.04896354675293,inf,79.98227462242784,964.03815,train
65,KPNB1,0.20749619603157043,0.983833182021318,360.28168611019936,4.512299,571.0884,1.0064809978939593,1.0062320451252162,31.674991607666016,inf,81.0689595725367,1003.30505,train
66,PRELID3B,0.2211601734161377,1.0113543858092924,370.19190364638354,4.6973643,571.8356,0.982412900775671,0.9827033057808876,31.124515533447266,inf,80.20718589242377,968.7355,train
67,DHODH,0.1969190537929535,1.0109030590364594,363.2171018771709,4.7511263,593.7803,1.033327091485262,1.0328672491014004,33.08664321899414,inf,84.4804452617649,1094.7261,train
68,MED19,0.3184695839881897,0.9866820224699914,358.3097169164459,4.4170666,586.89343,1.0087351817637682,1.008356798440218,32.73246765136719,inf,83.59948897203603,1071.4144,train
69,CENPJ,0.2237309217453003,1.067210206834335,377.21120975311004,4.8313518,599.12665,1.043002124875784,1.0432928949594498,32.71734619140625,inf,84.25135580905406,1070.4248,train
70,EIF3A,0.25384703278541565,1.0350431344345832,374.6657663405825,4.370351,585.3383,1.0121919130906463,1.0122559685260057,31.988529205322266,inf,82.4569015493191,1023.2659,train
